N,is_prime,ln_N,theoretical_k_flair,k_Flair_FC-512M_physical,k_Basic_calculator_simulated,k_Casio_fx-991_simulated,k_Python_IEEE_754_64-bit
2,1,0.693147,35,37,24,31,50
3,1,1.098612,36,37,25,32,51
4,0,1.386294,36,38,25,32,51
5,1,1.609438,37,37,25,32,52
6,0,1.791759,37,38,26,32,52
7,1,1.94591,37,37,26,32,52
8,0,2.079442,37,38,26,32,52
9,0,2.197225,37,38,26,33,52
10,0,2.302585,37,38,26,33,52
11,1,2.397895,37,37,26,33,52
12,0,2.484907,37,38,26,33,52
13,1,2.564949,37,37,26,33,52
14,0,2.639057,37,38,26,33,52
15,0,2.70805,37,38,26,33,52
16,0,2.772589,37,38,26,33,52
17,1,2.833213,37,37,26,33,52
18,0,2.890372,37,38,26,33,52
19,1,2.944439,37,37,26,33,52
20,0,2.995732,38,38,26,33,52
